Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,578.0,0.6889522075653076,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,4,0,50,1560,320,10
Method 3,11,636.0,1.166109561920166,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,4,0,50,1560,320,11
Method 3,12,696.0,0.9285285472869873,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,4,0,50,1560,320,12
Method 3,13,738.0,1.0393130779266357,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,4,0,50,1560,320,13
Method 3,14,796.0,2.101297616958618,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,4,0,50,1560,320,14
Method 3,15,856.0,2.366192579269409,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,4,0,50,1560,320,15
Method 3,16,914.0,2.4802417755126953,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,4,0,50,1560,320,16
Method 3,17,966.0,2.665647506713867,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,4,0,50,1560,320,17
Method 3,18,1008.0,2.772426128387451,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,4,0,50,1560,320,18
Method 3,19,1050.0,2.877497434616089,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,4,0,50,1560,320,19
Method 3,20,1104.0,3.2548303604125977,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,4,0,50,1560,320,20
Method 3,21,1158.0,3.1778013706207275,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,4,0,50,1560,320,21
Method 3,22,1216.0,3.2016942501068115,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,4,0,50,1560,320,22
Method 3,23,1256.0,3.389493703842163,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,4,0,50,1560,320,23
Method 3,24,1308.0,3.7349512577056885,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,4,0,50,1560,320,24
Method 3,25,1348.0,3.531303882598877,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,4,0,50,1560,320,25
Method 3,26,1404.0,4.074998617172241,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,4,0,50,1560,320,26
Method 3,27,1464.0,3.7637646198272705,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,4,0,50,1560,320,27
Method 3,28,1520.0,3.994089126586914,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,4,0,50,1560,320,28
Method 3,29,1570.0,4.032139778137207,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,4,0,50,1560,320,29
Method 3,30,1622.0,4.3162431716918945,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,4,0,50,1560,320,30
Method 3,31,1670.0,4.497720718383789,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,4,0,50,1560,320,31
Method 3,32,1722.0,4.300400018692017,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,4,0,50,1560,320,32
Method 3,33,1766.0,4.789248943328857,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,4,0,50,1560,320,33
Method 3,34,1822.0,4.878475904464722,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,4,0,50,1560,320,34
Method 3,35,1878.0,4.947419881820679,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,4,0,50,1560,320,35
Method 3,36,1932.0,5.171173810958862,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,4,0,50,1560,320,36
Method 3,37,1982.0,5.27724552154541,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,4,0,50,1560,320,37
Method 3,38,2040.0,5.325468301773071,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,4,0,50,1560,320,38
Method 3,39,2082.0,5.428709030151367,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,4,0,50,1560,320,39
Method 3,40,2138.0,6.029409408569336,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,4,0,50,1560,320,40
Method 3,41,2190.0,5.745834827423096,concorde,concorde,../data/foodmart/order/instances_d10_ord41.txt,10,4,0,50,1560,320,41
Method 3,42,2230.0,5.735951662063599,concorde,concorde,../data/foodmart/order/instances_d10_ord42.txt,10,4,0,50,1560,320,42
Method 3,43,2288.0,5.809930801391602,concorde,concorde,../data/foodmart/order/instances_d10_ord43.txt,10,4,0,50,1560,320,43
Method 3,44,2338.0,5.877825736999512,concorde,concorde,../data/foodmart/order/instances_d10_ord44.txt,10,4,0,50,1560,320,44
Method 3,45,2394.0,6.313713312149048,concorde,concorde,../data/foodmart/order/instances_d10_ord45.txt,10,4,0,50,1560,320,45
Method 3,46,2450.0,6.121153831481934,concorde,concorde,../data/foodmart/order/instances_d10_ord46.txt,10,4,0,50,1560,320,46
Method 3,47,2504.0,6.161019325256348,concorde,concorde,../data/foodmart/order/instances_d10_ord47.txt,10,4,0,50,1560,320,47
Method 3,48,2544.0,6.512267827987671,concorde,concorde,../data/foodmart/order/instances_d10_ord48.txt,10,4,0,50,1560,320,48
Method 3,49,2570.0,6.4026453495025635,concorde,concorde,../data/foodmart/order/instances_d10_ord49.txt,10,4,0,50,1560,320,49
Method 3,5,290.0,0.9229586124420166,concorde,concorde,../data/foodmart/order/instances_d10_ord5.txt,10,4,0,50,1560,320,5
Method 3,50,2612.0,6.622681617736816,concorde,concorde,../data/foodmart/order/instances_d10_ord50.txt,10,4,0,50,1560,320,50
