Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,2079.6299999999997,1.874758005142212,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,10,1,3,1560,320,10
Method 3,11,2266.2299999999996,2.4431686401367188,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,10,1,3,1560,320,11
Method 3,12,2468.9799999999996,2.835916519165039,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,10,1,3,1560,320,12
Method 3,13,2641.5799999999995,3.06591534614563,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,10,1,3,1560,320,13
Method 3,14,2840.2899999999995,3.342078685760498,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,10,1,3,1560,320,14
Method 3,15,3018.9099999999994,3.4468400478363037,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,10,1,3,1560,320,15
Method 3,16,3213.4799999999996,3.7403018474578857,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,10,1,3,1560,320,16
Method 3,17,3372.2899999999995,3.875803232192993,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,10,1,3,1560,320,17
Method 3,18,3544.9999999999995,3.949732542037964,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,10,1,3,1560,320,18
Method 3,19,3699.7099999999996,4.202336311340332,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,10,1,3,1560,320,19
Method 3,20,3870.2999999999997,4.352874040603638,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,10,1,3,1560,320,20
Method 3,21,4063.1099999999997,4.615698337554932,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,10,1,3,1560,320,21
Method 3,22,4257.92,4.666019439697266,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,10,1,3,1560,320,22
