Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,970.0,1.4186718463897705,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,7,0,28,1560,320,10
Method 3,11,1066.0,1.3819031715393066,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,7,0,28,1560,320,11
Method 3,12,1160.0,2.0205912590026855,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,7,0,28,1560,320,12
Method 3,13,1234.0,1.9124832153320312,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,7,0,28,1560,320,13
Method 3,14,1328.0,2.169626235961914,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,7,0,28,1560,320,14
Method 3,15,1412.0,1.8670601844787598,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,7,0,28,1560,320,15
Method 3,16,1510.0,2.2563586235046387,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,7,0,28,1560,320,16
Method 3,17,1592.0,2.178670644760132,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,7,0,28,1560,320,17
Method 3,18,1668.0,2.5537524223327637,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,7,0,28,1560,320,18
Method 3,19,1734.0,2.5614092350006104,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,7,0,28,1560,320,19
Method 3,20,1816.0,2.6859676837921143,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,7,0,28,1560,320,20
Method 3,21,1910.0,2.59694504737854,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,7,0,28,1560,320,21
Method 3,22,2004.0,2.9161713123321533,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,7,0,28,1560,320,22
Method 3,23,2076.0,3.08058762550354,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,7,0,28,1560,320,23
Method 3,24,2168.0,2.892435073852539,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,7,0,28,1560,320,24
Method 3,25,2226.0,3.309084177017212,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,7,0,28,1560,320,25
Method 3,26,2314.0,3.4271600246429443,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,7,0,28,1560,320,26
