Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,3341.5200000000004,2.6801154613494873,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,30,1,3,1560,320,10
Method 3,11,3670.1400000000003,2.3773293495178223,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,30,1,3,1560,320,11
Method 3,12,3996.4700000000003,2.517321825027466,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,30,1,3,1560,320,12
Method 3,13,4229.030000000001,2.6147286891937256,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,30,1,3,1560,320,13
Method 3,14,4543.740000000001,2.8793349266052246,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,30,1,3,1560,320,14
Method 3,15,4818.14,2.6807713508605957,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,30,1,3,1560,320,15
Method 3,16,5136.8,2.9887313842773438,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,30,1,3,1560,320,16
Method 3,17,5421.45,3.2896811962127686,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,30,1,3,1560,320,17
Method 3,18,5680.099999999999,3.335236072540283,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,30,1,3,1560,320,18
Method 3,19,5902.48,3.4123408794403076,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,30,1,3,1560,320,19
Method 3,20,6163.099999999999,3.59002685546875,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,30,1,3,1560,320,20
Method 3,21,6467.499999999999,3.75223445892334,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,30,1,3,1560,320,21
Method 3,22,6765.869999999999,3.8700432777404785,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,30,1,3,1560,320,22
Method 3,23,6974.119999999999,3.93487286567688,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,30,1,3,1560,320,23
Method 3,24,7254.379999999999,4.2225775718688965,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,30,1,3,1560,320,24
Method 3,25,7439.0599999999995,4.309264659881592,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,30,1,3,1560,320,25
Method 3,26,7741.4,4.44997501373291,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,30,1,3,1560,320,26
Method 3,27,8015.549999999999,4.555733919143677,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,30,1,3,1560,320,27
Method 3,28,8277.699999999999,4.737442255020142,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,30,1,3,1560,320,28
Method 3,29,8603.789999999999,4.834424257278442,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,30,1,3,1560,320,29
Method 3,30,8890.499999999998,5.125264406204224,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,30,1,3,1560,320,30
