Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,708.0,1.024644136428833,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,5,0,40,1560,160,10
Method 3,11,780.0,2.101923704147339,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,5,0,40,1560,160,11
Method 3,12,852.0,2.2567477226257324,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,5,0,40,1560,160,12
Method 3,13,892.0,2.2691051959991455,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,5,0,40,1560,160,13
Method 3,14,966.0,2.501138687133789,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,5,0,40,1560,160,14
Method 3,15,1026.0,2.6062064170837402,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,5,0,40,1560,160,15
Method 3,16,1096.0,2.7057645320892334,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,5,0,40,1560,160,16
Method 3,17,1164.0,2.8678417205810547,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,5,0,40,1560,160,17
Method 3,18,1220.0,3.151088237762451,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,5,0,40,1560,160,18
Method 3,19,1262.0,3.1439802646636963,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,5,0,40,1560,160,19
Method 3,20,1318.0,3.185746192932129,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,5,0,40,1560,160,20
Method 3,21,1386.0,4.300066947937012,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,5,0,40,1560,160,21
Method 3,22,1456.0,3.4630041122436523,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,5,0,40,1560,160,22
Method 3,23,1500.0,3.819850444793701,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,5,0,40,1560,160,23
Method 3,24,1562.0,3.6096396446228027,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,5,0,40,1560,160,24
Method 3,25,1604.0,3.9514856338500977,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,5,0,40,1560,160,25
Method 3,26,1676.0,3.805246353149414,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,5,0,40,1560,160,26
Method 3,27,1746.0,4.3354880809783936,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,5,0,40,1560,160,27
Method 3,28,1794.0,4.077979803085327,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,5,0,40,1560,160,28
Method 3,29,1856.0,6.612757444381714,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,5,0,40,1560,160,29
Method 3,30,1924.0,4.30726432800293,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,5,0,40,1560,160,30
Method 3,31,1988.0,4.3954408168792725,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,5,0,40,1560,160,31
Method 3,32,2054.0,4.983580112457275,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,5,0,40,1560,160,32
Method 3,33,2112.0,4.857769727706909,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,5,0,40,1560,160,33
Method 3,34,2180.0,5.700241327285767,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,5,0,40,1560,160,34
Method 3,35,2246.0,5.141007900238037,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,5,0,40,1560,160,35
Method 3,36,2310.0,5.246300220489502,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,5,0,40,1560,160,36
Method 3,37,2374.0,5.462557315826416,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,5,0,40,1560,160,37
Method 3,38,2444.0,5.5967698097229,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,5,0,40,1560,160,38
Method 3,39,2480.0,5.767369031906128,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,5,0,40,1560,160,39
Method 3,40,2540.0,5.886162042617798,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,5,0,40,1560,160,40
