Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,2100.0,2.0594072341918945,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,8,1,3,1560,320,10
Method 3,11,2306.0,2.3138301372528076,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,8,1,3,1560,320,11
Method 3,12,2518.0,2.4087233543395996,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,8,1,3,1560,320,12
Method 3,13,2678.0,2.478166341781616,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,8,1,3,1560,320,13
Method 3,14,2874.0,2.6398730278015137,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,8,1,3,1560,320,14
Method 3,15,3070.0,2.7643167972564697,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,8,1,3,1560,320,15
Method 3,16,3260.0,2.8190078735351562,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,8,1,3,1560,320,16
Method 3,17,3422.0,3.1417880058288574,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,8,1,3,1560,320,17
Method 3,18,3570.0,3.3929426670074463,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,8,1,3,1560,320,18
Method 3,19,3710.0,3.326256513595581,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,8,1,3,1560,320,19
Method 3,20,3886.0,3.423985481262207,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,8,1,3,1560,320,20
Method 3,21,4056.0,3.7622268199920654,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,8,1,3,1560,320,21
Method 3,22,4224.0,3.922234058380127,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,8,1,3,1560,320,22
Method 3,23,4354.0,4.00945782661438,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,8,1,3,1560,320,23
Method 3,24,4498.0,4.439486742019653,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,8,1,3,1560,320,24
Method 3,25,4626.0,4.460439205169678,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,8,1,3,1560,320,25
Method 3,26,4792.0,4.268126010894775,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,8,1,3,1560,320,26
Method 3,27,4954.0,4.691812753677368,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,8,1,3,1560,320,27
Method 3,28,5112.0,4.900608062744141,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,8,1,3,1560,320,28
Method 3,29,5286.0,4.746642351150513,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,8,1,3,1560,320,29
Method 3,30,5458.0,5.033860206604004,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,8,1,3,1560,320,30
Method 3,31,5626.0,5.0950767993927,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,8,1,3,1560,320,31
Method 3,32,5772.0,5.218754529953003,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,8,1,3,1560,320,32
Method 3,33,5896.0,5.499439001083374,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,8,1,3,1560,320,33
