Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,862.0,2.0718584060668945,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,6,0,33,1560,80,10
Method 3,11,946.0,2.1076037883758545,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,6,0,33,1560,80,11
Method 3,12,1030.0,2.104310989379883,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,6,0,33,1560,80,12
Method 3,13,1090.0,3.310353994369507,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,6,0,33,1560,80,13
Method 3,14,1176.0,3.0021419525146484,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,6,0,33,1560,80,14
Method 3,15,1252.0,3.181457996368408,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,6,0,33,1560,80,15
Method 3,16,1338.0,3.2571213245391846,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,6,0,33,1560,80,16
Method 3,17,1422.0,3.744483232498169,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,6,0,33,1560,80,17
Method 3,18,1488.0,3.4456450939178467,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,6,0,33,1560,80,18
Method 3,19,1542.0,3.8251242637634277,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,6,0,33,1560,80,19
Method 3,20,1610.0,3.7130534648895264,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,6,0,33,1560,80,20
Method 3,21,1688.0,3.857693672180176,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,6,0,33,1560,80,21
Method 3,22,1772.0,3.813171863555908,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,6,0,33,1560,80,22
Method 3,23,1822.0,4.470983028411865,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,6,0,33,1560,80,23
Method 3,24,1900.0,4.135665655136108,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,6,0,33,1560,80,24
Method 3,25,1956.0,4.516062021255493,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,6,0,33,1560,80,25
Method 3,26,2036.0,4.587469816207886,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,6,0,33,1560,80,26
