Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,424.0,0.9519431591033936,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,3,0,65,1560,160,10
Method 3,11,468.0,1.5899403095245361,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,3,0,65,1560,160,11
Method 3,12,512.0,1.3731968402862549,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,3,0,65,1560,160,12
Method 3,13,538.0,2.329669952392578,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,3,0,65,1560,160,13
Method 3,14,582.0,2.7041280269622803,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,3,0,65,1560,160,14
Method 3,15,626.0,3.051847219467163,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,3,0,65,1560,160,15
Method 3,16,666.0,3.040627956390381,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,3,0,65,1560,160,16
Method 3,17,710.0,3.176961660385132,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,3,0,65,1560,160,17
Method 3,18,752.0,3.38925838470459,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,3,0,65,1560,160,18
Method 3,19,778.0,3.8433287143707275,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,3,0,65,1560,160,19
Method 3,20,820.0,3.7031214237213135,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,3,0,65,1560,160,20
Method 3,21,820.0,3.9412834644317627,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,3,0,65,1560,160,21
Method 3,22,860.0,3.922457695007324,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,3,0,65,1560,160,22
Method 3,23,886.0,4.090651988983154,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,3,0,65,1560,160,23
Method 3,24,926.0,4.075309991836548,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,3,0,65,1560,160,24
Method 3,25,952.0,4.294745206832886,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,3,0,65,1560,160,25
Method 3,26,992.0,4.420473337173462,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,3,0,65,1560,160,26
Method 3,27,1036.0,4.775160074234009,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,3,0,65,1560,160,27
Method 3,28,1078.0,5.503049850463867,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,3,0,65,1560,160,28
Method 3,29,1112.0,5.061114072799683,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,3,0,65,1560,160,29
Method 3,30,1148.0,5.567035913467407,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,3,0,65,1560,160,30
Method 3,31,1148.0,5.2329933643341064,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,3,0,65,1560,160,31
Method 3,32,1190.0,5.199396133422852,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,3,0,65,1560,160,32
Method 3,33,1216.0,5.5132057666778564,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,3,0,65,1560,160,33
Method 3,34,1258.0,5.69697117805481,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,3,0,65,1560,160,34
Method 3,35,1300.0,5.922441482543945,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,3,0,65,1560,160,35
