Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,2462.1499999999996,2.95119309425354,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,10,0,3,1560,320,10
Method 3,11,2664.7499999999995,2.7338602542877197,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,10,0,3,1560,320,11
Method 3,12,2909.4999999999995,2.789243221282959,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,10,0,3,1560,320,12
Method 3,13,3102.0999999999995,3.0364198684692383,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,10,0,3,1560,320,13
Method 3,14,3341.1899999999996,3.0220134258270264,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,10,0,3,1560,320,14
Method 3,15,3569.9999999999995,3.68387508392334,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,10,0,3,1560,320,15
Method 3,16,3822.8099999999995,3.389925956726074,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,10,0,3,1560,320,16
Method 3,17,3993.6199999999994,3.5058248043060303,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,10,0,3,1560,320,17
Method 3,18,4194.28,4.006993293762207,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,10,0,3,1560,320,18
Method 3,19,4377.37,3.9030749797821045,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,10,0,3,1560,320,19
Method 3,20,4553.97,4.244145631790161,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,10,0,3,1560,320,20
Method 3,21,4756.780000000001,4.278514623641968,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,10,0,3,1560,320,21
Method 3,22,4965.590000000001,4.326655626296997,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,10,0,3,1560,320,22
Method 3,23,5096.280000000001,4.653584957122803,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,10,0,3,1560,320,23
Method 3,24,5303.030000000001,4.765054941177368,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,10,0,3,1560,320,24
Method 3,25,5458.120000000001,4.917816400527954,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,10,0,3,1560,320,25
Method 3,26,5694.930000000001,5.102497339248657,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,10,0,3,1560,320,26
Method 3,27,5891.730000000001,6.161709547042847,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,10,0,3,1560,320,27
Method 3,28,6066.200000000002,5.168634653091431,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,10,0,3,1560,320,28
Method 3,29,6276.450000000002,5.6526100635528564,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,10,0,3,1560,320,29
Method 3,30,6447.260000000002,5.461382627487183,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,10,0,3,1560,320,30
Method 3,31,6629.540000000002,5.6715781688690186,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,10,0,3,1560,320,31
Method 3,32,6821.950000000002,5.867994546890259,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,10,0,3,1560,320,32
Method 3,33,7012.750000000002,5.95330023765564,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,10,0,3,1560,320,33
Method 3,34,7213.560000000002,6.089417219161987,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,10,0,3,1560,320,34
Method 3,35,7392.230000000002,6.1043665409088135,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,10,0,3,1560,320,35
Method 3,36,7595.130000000002,6.455518960952759,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,10,0,3,1560,320,36
Method 3,37,7818.220000000002,6.616990804672241,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,10,0,3,1560,320,37
Method 3,38,8034.820000000002,6.987786054611206,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,10,0,3,1560,320,38
Method 3,39,8167.480000000002,6.809628963470459,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,10,0,3,1560,320,39
Method 3,40,8358.280000000002,6.764667749404907,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,10,0,3,1560,320,40
Method 3,41,8542.960000000003,6.885267496109009,concorde,concorde,../data/foodmart/order/instances_d10_ord41.txt,10,10,0,3,1560,320,41
Method 3,42,8721.640000000003,11.678606986999512,concorde,concorde,../data/foodmart/order/instances_d10_ord42.txt,10,10,0,3,1560,320,42
Method 3,43,8928.440000000002,11.370582103729248,concorde,concorde,../data/foodmart/order/instances_d10_ord43.txt,10,10,0,3,1560,320,43
Method 3,44,9107.340000000002,8.132858276367188,concorde,concorde,../data/foodmart/order/instances_d10_ord44.txt,10,10,0,3,1560,320,44
Method 3,45,9306.240000000002,7.036522388458252,concorde,concorde,../data/foodmart/order/instances_d10_ord45.txt,10,10,0,3,1560,320,45
Method 3,46,9489.330000000002,6.918548345565796,concorde,concorde,../data/foodmart/order/instances_d10_ord46.txt,10,10,0,3,1560,320,46
Method 3,47,9672.130000000001,7.39883279800415,concorde,concorde,../data/foodmart/order/instances_d10_ord47.txt,10,10,0,3,1560,320,47
Method 3,48,9856.94,6.596347332000732,concorde,concorde,../data/foodmart/order/instances_d10_ord48.txt,10,10,0,3,1560,320,48
Method 3,49,10018.03,6.694562673568726,concorde,concorde,../data/foodmart/order/instances_d10_ord49.txt,10,10,0,3,1560,320,49
Method 3,5,1309.45,0.9708869457244873,concorde,concorde,../data/foodmart/order/instances_d10_ord5.txt,10,10,0,3,1560,320,5
Method 3,50,10166.69,6.83894419670105,concorde,concorde,../data/foodmart/order/instances_d10_ord50.txt,10,10,0,3,1560,320,50
Method 3,6,1570.54,1.226170539855957,concorde,concorde,../data/foodmart/order/instances_d10_ord6.txt,10,10,0,3,1560,320,6
Method 3,7,1781.35,1.4247496128082275,concorde,concorde,../data/foodmart/order/instances_d10_ord7.txt,10,10,0,3,1560,320,7
Method 3,8,1990.4399999999998,1.4336237907409668,concorde,concorde,../data/foodmart/order/instances_d10_ord8.txt,10,10,0,3,1560,320,8
Method 3,9,2199.3399999999997,1.687119483947754,concorde,concorde,../data/foodmart/order/instances_d10_ord9.txt,10,10,0,3,1560,320,9
Method 3,10,2748.4,2.3267507553100586,concorde,concorde,../data/foodmart/order/instances_d20_ord10.txt,20,10,0,3,1560,320,10
Method 3,11,3005.21,2.6308672428131104,concorde,concorde,../data/foodmart/order/instances_d20_ord11.txt,20,10,0,3,1560,320,11
Method 3,12,3194.02,2.7067654132843018,concorde,concorde,../data/foodmart/order/instances_d20_ord12.txt,20,10,0,3,1560,320,12
Method 3,13,3464.92,3.0521371364593506,concorde,concorde,../data/foodmart/order/instances_d20_ord13.txt,20,10,0,3,1560,320,13
Method 3,14,3651.16,3.114292621612549,concorde,concorde,../data/foodmart/order/instances_d20_ord14.txt,20,10,0,3,1560,320,14
Method 3,15,3899.7599999999998,3.0451531410217285,concorde,concorde,../data/foodmart/order/instances_d20_ord15.txt,20,10,0,3,1560,320,15
Method 3,16,4156.5599999999995,3.182324171066284,concorde,concorde,../data/foodmart/order/instances_d20_ord16.txt,20,10,0,3,1560,320,16
Method 3,17,4391.2699999999995,3.3541600704193115,concorde,concorde,../data/foodmart/order/instances_d20_ord17.txt,20,10,0,3,1560,320,17
Method 3,18,4627.839999999999,3.77176833152771,concorde,concorde,../data/foodmart/order/instances_d20_ord18.txt,20,10,0,3,1560,320,18
Method 3,19,4876.549999999999,3.982043743133545,concorde,concorde,../data/foodmart/order/instances_d20_ord19.txt,20,10,0,3,1560,320,19
Method 3,20,5123.349999999999,3.9973859786987305,concorde,concorde,../data/foodmart/order/instances_d20_ord20.txt,20,10,0,3,1560,320,20
Method 3,21,5362.16,4.3281426429748535,concorde,concorde,../data/foodmart/order/instances_d20_ord21.txt,20,10,0,3,1560,320,21
Method 3,22,5623.25,4.432234287261963,concorde,concorde,../data/foodmart/order/instances_d20_ord22.txt,20,10,0,3,1560,320,22
Method 3,23,5853.72,4.5544068813323975,concorde,concorde,../data/foodmart/order/instances_d20_ord23.txt,20,10,0,3,1560,320,23
Method 3,24,6068.43,4.844601392745972,concorde,concorde,../data/foodmart/order/instances_d20_ord24.txt,20,10,0,3,1560,320,24
Method 3,25,6295.18,4.864444017410278,concorde,concorde,../data/foodmart/order/instances_d20_ord25.txt,20,10,0,3,1560,320,25
Method 3,26,6543.650000000001,5.289622783660889,concorde,concorde,../data/foodmart/order/instances_d20_ord26.txt,20,10,0,3,1560,320,26
Method 3,27,6794.450000000001,5.355761289596558,concorde,concorde,../data/foodmart/order/instances_d20_ord27.txt,20,10,0,3,1560,320,27
Method 3,28,7055.540000000001,5.523504734039307,concorde,concorde,../data/foodmart/order/instances_d20_ord28.txt,20,10,0,3,1560,320,28
