Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,2025.58,1.8854663372039795,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,10,2,3,1560,320,10
Method 3,11,2212.18,2.0628488063812256,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,10,2,3,1560,320,11
Method 3,12,2400.93,2.0576059818267822,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,10,2,3,1560,320,12
Method 3,13,2575.5299999999997,2.2958271503448486,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,10,2,3,1560,320,13
Method 3,14,2760.62,2.2719242572784424,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,10,2,3,1560,320,14
Method 3,15,2945.43,2.4951484203338623,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,10,2,3,1560,320,15
Method 3,16,3136.0,2.666006088256836,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,10,2,3,1560,320,16
Method 3,17,3298.81,2.810920238494873,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,10,2,3,1560,320,17
Method 3,18,3459.52,2.822861909866333,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,10,2,3,1560,320,18
Method 3,19,3620.23,3.0191705226898193,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,10,2,3,1560,320,19
Method 3,20,3770.83,3.1283116340637207,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,10,2,3,1560,320,20
Method 3,21,3955.64,3.337913751602173,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,10,2,3,1560,320,21
Method 3,22,4130.45,3.4183902740478516,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,10,2,3,1560,320,22
Method 3,23,4269.139999999999,3.484731674194336,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,10,2,3,1560,320,23
Method 3,24,4441.889999999999,3.581024646759033,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,10,2,3,1560,320,24
Method 3,25,4584.789999999999,4.000756502151489,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,10,2,3,1560,320,25
Method 3,26,4741.599999999999,3.92130708694458,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,10,2,3,1560,320,26
Method 3,27,4910.4,4.0523457527160645,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,10,2,3,1560,320,27
Method 3,28,5050.87,4.004262685775757,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,10,2,3,1560,320,28
Method 3,29,5207.12,4.21314811706543,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,10,2,3,1560,320,29
Method 3,30,5375.93,4.339160442352295,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,10,2,3,1560,320,30
Method 3,31,5530.22,4.427206039428711,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,10,2,3,1560,320,31
