Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,2676.7599999999998,2.055823564529419,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,20,2,3,1560,320,10
Method 3,11,2935.3999999999996,2.144885301589966,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,20,2,3,1560,320,11
Method 3,12,3194.2999999999997,2.3209848403930664,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,20,2,3,1560,320,12
Method 3,13,3384.8999999999996,2.4428834915161133,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,20,2,3,1560,320,13
Method 3,14,3623.99,2.643010139465332,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,20,2,3,1560,320,14
Method 3,15,3848.64,3.325579881668091,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,20,2,3,1560,320,15
Method 3,16,4099.26,3.0239360332489014,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,20,2,3,1560,320,16
Method 3,17,4321.97,3.055999755859375,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,20,2,3,1560,320,17
Method 3,18,4524.56,3.3230416774749756,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,20,2,3,1560,320,18
Method 3,19,4705.25,3.3434386253356934,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,20,2,3,1560,320,19
Method 3,20,4910.34,3.407186508178711,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,20,2,3,1560,320,20
Method 3,21,5151.05,3.6049132347106934,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,20,2,3,1560,320,21
Method 3,22,5381.68,3.74648380279541,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,20,2,3,1560,320,22
Method 3,23,5554.150000000001,3.841641426086426,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,20,2,3,1560,320,23
Method 3,24,5778.56,4.000078201293945,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,20,2,3,1560,320,24
Method 3,25,5933.14,4.118197917938232,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,20,2,3,1560,320,25
Method 3,26,6165.9400000000005,4.243838787078857,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,20,2,3,1560,320,26
Method 3,27,6394.250000000001,4.277916193008423,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,20,2,3,1560,320,27
Method 3,28,6606.490000000001,4.291172504425049,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,20,2,3,1560,320,28
Method 3,29,6844.610000000001,4.693782567977905,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,20,2,3,1560,320,29
Method 3,30,7045.320000000001,5.034764289855957,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,20,2,3,1560,320,30
Method 3,31,7287.450000000001,4.944112062454224,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,20,2,3,1560,320,31
Method 3,32,7527.660000000001,5.006518602371216,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,20,2,3,1560,320,32
Method 3,33,7715.930000000001,5.143122911453247,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,20,2,3,1560,320,33
Method 3,34,7944.680000000001,5.4405906200408936,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,20,2,3,1560,320,34
Method 3,35,8197.310000000001,5.447537183761597,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,20,2,3,1560,320,35
Method 3,36,8431.7,5.546866178512573,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,20,2,3,1560,320,36
Method 3,37,8668.28,5.758999347686768,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,20,2,3,1560,320,37
Method 3,38,8920.880000000001,5.838896751403809,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,20,2,3,1560,320,38
Method 3,39,9093.44,6.3583290576934814,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,20,2,3,1560,320,39
Method 3,40,9307.74,8.607123136520386,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,20,2,3,1560,320,40
