Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,2454.0,1.7134201526641846,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,8,0,3,1560,160,10
Method 3,11,2714.0,1.6444425582885742,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,8,0,3,1560,160,11
Method 3,12,2968.0,1.7154395580291748,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,8,0,3,1560,160,12
Method 3,13,3164.0,2.3700003623962402,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,8,0,3,1560,160,13
Method 3,14,3358.0,2.3463611602783203,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,8,0,3,1560,160,14
Method 3,15,3578.0,2.5588176250457764,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,8,0,3,1560,160,15
Method 3,16,3774.0,2.491986036300659,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,8,0,3,1560,160,16
Method 3,17,3942.0,2.761939525604248,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,8,0,3,1560,160,17
Method 3,18,4138.0,2.880359172821045,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,8,0,3,1560,160,18
Method 3,19,4288.0,3.0555195808410645,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,8,0,3,1560,160,19
Method 3,20,4496.0,3.0033388137817383,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,8,0,3,1560,160,20
Method 3,21,4686.0,3.3707146644592285,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,8,0,3,1560,160,21
Method 3,22,4862.0,3.4414665699005127,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,8,0,3,1560,160,22
Method 3,23,5032.0,3.4591221809387207,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,8,0,3,1560,160,23
Method 3,24,5208.0,3.9910244941711426,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,8,0,3,1560,160,24
Method 3,25,5368.0,3.773573398590088,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,8,0,3,1560,160,25
Method 3,26,5592.0,3.9972586631774902,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,8,0,3,1560,160,26
Method 3,27,5784.0,4.1291399002075195,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,8,0,3,1560,160,27
Method 3,28,5970.0,4.096791744232178,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,8,0,3,1560,160,28
Method 3,29,6168.0,4.61159348487854,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,8,0,3,1560,160,29
Method 3,30,6344.0,4.981464862823486,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,8,0,3,1560,160,30
Method 3,31,6530.0,4.766203165054321,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,8,0,3,1560,160,31
Method 3,32,6724.0,4.918105840682983,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,8,0,3,1560,160,32
Method 3,33,6892.0,5.1418116092681885,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,8,0,3,1560,160,33
Method 3,34,7058.0,5.270098686218262,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,8,0,3,1560,160,34
Method 3,35,7296.0,5.3559629917144775,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,8,0,3,1560,160,35
Method 3,36,7478.0,5.480999231338501,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,8,0,3,1560,160,36
Method 3,37,7690.0,5.524480581283569,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,8,0,3,1560,160,37
Method 3,38,7914.0,5.6642115116119385,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,8,0,3,1560,160,38
Method 3,39,8050.0,5.990583896636963,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,8,0,3,1560,160,39
Method 3,40,8236.0,5.9537529945373535,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,8,0,3,1560,160,40
Method 3,41,8430.0,6.032328844070435,concorde,concorde,../data/foodmart/order/instances_d10_ord41.txt,10,8,0,3,1560,160,41
Method 3,42,8600.0,6.484093904495239,concorde,concorde,../data/foodmart/order/instances_d10_ord42.txt,10,8,0,3,1560,160,42
Method 3,43,8812.0,6.135574579238892,concorde,concorde,../data/foodmart/order/instances_d10_ord43.txt,10,8,0,3,1560,160,43
Method 3,44,9010.0,6.267128229141235,concorde,concorde,../data/foodmart/order/instances_d10_ord44.txt,10,8,0,3,1560,160,44
Method 3,45,9208.0,6.314468622207642,concorde,concorde,../data/foodmart/order/instances_d10_ord45.txt,10,8,0,3,1560,160,45
Method 3,46,9456.0,6.691478252410889,concorde,concorde,../data/foodmart/order/instances_d10_ord46.txt,10,8,0,3,1560,160,46
Method 3,47,9622.0,6.686491966247559,concorde,concorde,../data/foodmart/order/instances_d10_ord47.txt,10,8,0,3,1560,160,47
Method 3,48,9796.0,7.176272869110107,concorde,concorde,../data/foodmart/order/instances_d10_ord48.txt,10,8,0,3,1560,160,48
Method 3,49,9946.0,6.8807573318481445,concorde,concorde,../data/foodmart/order/instances_d10_ord49.txt,10,8,0,3,1560,160,49
