Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,578.0,1.3286049365997314,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,4,0,50,1560,160,10
Method 3,11,636.0,1.1044116020202637,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,4,0,50,1560,160,11
Method 3,12,696.0,1.2081890106201172,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,4,0,50,1560,160,12
Method 3,13,738.0,1.1605303287506104,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,4,0,50,1560,160,13
Method 3,14,796.0,1.2796225547790527,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,4,0,50,1560,160,14
Method 3,15,856.0,1.489316701889038,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,4,0,50,1560,160,15
Method 3,16,914.0,1.5051519870758057,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,4,0,50,1560,160,16
Method 3,17,966.0,1.5299570560455322,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,4,0,50,1560,160,17
Method 3,18,1008.0,1.516312599182129,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,4,0,50,1560,160,18
Method 3,19,1050.0,1.8099725246429443,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,4,0,50,1560,160,19
Method 3,20,1104.0,1.5160291194915771,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,4,0,50,1560,160,20
Method 3,21,1158.0,1.8349738121032715,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,4,0,50,1560,160,21
Method 3,22,1216.0,1.7472705841064453,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,4,0,50,1560,160,22
Method 3,23,1256.0,1.963073968887329,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,4,0,50,1560,160,23
Method 3,24,1308.0,1.8689427375793457,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,4,0,50,1560,160,24
