Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,1072.0,1.049131155014038,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,8,0,25,1560,240,10
Method 3,11,1180.0,1.4430246353149414,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,8,0,25,1560,240,11
Method 3,12,1292.0,2.2769713401794434,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,8,0,25,1560,240,12
Method 3,13,1366.0,2.4870383739471436,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,8,0,25,1560,240,13
Method 3,14,1462.0,2.538142442703247,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,8,0,25,1560,240,14
Method 3,15,1564.0,2.7167699337005615,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,8,0,25,1560,240,15
Method 3,16,1670.0,3.1688575744628906,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,8,0,25,1560,240,16
Method 3,17,1758.0,2.9681484699249268,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,8,0,25,1560,240,17
Method 3,18,1840.0,3.1445579528808594,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,8,0,25,1560,240,18
Method 3,19,1902.0,3.440509080886841,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,8,0,25,1560,240,19
Method 3,20,1996.0,3.3472139835357666,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,8,0,25,1560,240,20
Method 3,21,2096.0,3.852550745010376,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,8,0,25,1560,240,21
Method 3,22,2186.0,3.584538221359253,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,8,0,25,1560,240,22
Method 3,23,2256.0,4.023046016693115,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,8,0,25,1560,240,23
Method 3,24,2348.0,3.7541329860687256,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,8,0,25,1560,240,24
Method 3,25,2414.0,4.026625871658325,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,8,0,25,1560,240,25
Method 3,26,2514.0,4.29899001121521,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,8,0,25,1560,240,26
Method 3,27,2606.0,4.3167195320129395,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,8,0,25,1560,240,27
Method 3,28,2692.0,4.2886881828308105,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,8,0,25,1560,240,28
Method 3,29,2788.0,4.544726848602295,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,8,0,25,1560,240,29
Method 3,30,2878.0,4.8519532680511475,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,8,0,25,1560,240,30
Method 3,31,2976.0,5.006631374359131,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,8,0,25,1560,240,31
Method 3,32,3074.0,4.974497556686401,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,8,0,25,1560,240,32
Method 3,33,3142.0,6.536844968795776,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,8,0,25,1560,240,33
Method 3,34,3230.0,5.258013010025024,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,8,0,25,1560,240,34
Method 3,35,3336.0,5.388168096542358,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,8,0,25,1560,240,35
Method 3,36,3432.0,5.295266151428223,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,8,0,25,1560,240,36
Method 3,37,3528.0,5.519834280014038,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,8,0,25,1560,240,37
Method 3,38,3628.0,6.077013731002808,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,8,0,25,1560,240,38
Method 3,39,3688.0,5.821757555007935,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,8,0,25,1560,240,39
Method 3,40,3776.0,5.926645278930664,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,8,0,25,1560,240,40
Method 3,41,3870.0,6.186763525009155,concorde,concorde,../data/foodmart/order/instances_d10_ord41.txt,10,8,0,25,1560,240,41
Method 3,42,3946.0,6.179343938827515,concorde,concorde,../data/foodmart/order/instances_d10_ord42.txt,10,8,0,25,1560,240,42
Method 3,43,4050.0,6.490670919418335,concorde,concorde,../data/foodmart/order/instances_d10_ord43.txt,10,8,0,25,1560,240,43
Method 3,44,4152.0,6.404736757278442,concorde,concorde,../data/foodmart/order/instances_d10_ord44.txt,10,8,0,25,1560,240,44
Method 3,45,4252.0,6.481719732284546,concorde,concorde,../data/foodmart/order/instances_d10_ord45.txt,10,8,0,25,1560,240,45
Method 3,46,4350.0,6.946108341217041,concorde,concorde,../data/foodmart/order/instances_d10_ord46.txt,10,8,0,25,1560,240,46
Method 3,47,4440.0,6.7432708740234375,concorde,concorde,../data/foodmart/order/instances_d10_ord47.txt,10,8,0,25,1560,240,47
Method 3,48,4518.0,6.765243291854858,concorde,concorde,../data/foodmart/order/instances_d10_ord48.txt,10,8,0,25,1560,240,48
Method 3,49,4576.0,7.27719259262085,concorde,concorde,../data/foodmart/order/instances_d10_ord49.txt,10,8,0,25,1560,240,49
Method 3,5,560.0,1.389265537261963,concorde,concorde,../data/foodmart/order/instances_d10_ord5.txt,10,8,0,25,1560,240,5
Method 3,50,4652.0,7.25975775718689,concorde,concorde,../data/foodmart/order/instances_d10_ord50.txt,10,8,0,25,1560,240,50
Method 3,6,666.0,1.3460819721221924,concorde,concorde,../data/foodmart/order/instances_d10_ord6.txt,10,8,0,25,1560,240,6
Method 3,7,766.0,1.6392083168029785,concorde,concorde,../data/foodmart/order/instances_d10_ord7.txt,10,8,0,25,1560,240,7
Method 3,8,866.0,1.7602295875549316,concorde,concorde,../data/foodmart/order/instances_d10_ord8.txt,10,8,0,25,1560,240,8
Method 3,9,962.0,1.885385274887085,concorde,concorde,../data/foodmart/order/instances_d10_ord9.txt,10,8,0,25,1560,240,9
Method 3,10,1130.0,1.8916707038879395,concorde,concorde,../data/foodmart/order/instances_d20_ord10.txt,20,8,0,25,1560,240,10
Method 3,11,1246.0,1.8245439529418945,concorde,concorde,../data/foodmart/order/instances_d20_ord11.txt,20,8,0,25,1560,240,11
Method 3,12,1346.0,2.2059381008148193,concorde,concorde,../data/foodmart/order/instances_d20_ord12.txt,20,8,0,25,1560,240,12
Method 3,13,1446.0,2.4446821212768555,concorde,concorde,../data/foodmart/order/instances_d20_ord13.txt,20,8,0,25,1560,240,13
Method 3,14,1548.0,2.746297836303711,concorde,concorde,../data/foodmart/order/instances_d20_ord14.txt,20,8,0,25,1560,240,14
Method 3,15,1662.0,2.8681657314300537,concorde,concorde,../data/foodmart/order/instances_d20_ord15.txt,20,8,0,25,1560,240,15
Method 3,16,1774.0,2.99021577835083,concorde,concorde,../data/foodmart/order/instances_d20_ord16.txt,20,8,0,25,1560,240,16
Method 3,17,1878.0,3.594932794570923,concorde,concorde,../data/foodmart/order/instances_d20_ord17.txt,20,8,0,25,1560,240,17
Method 3,18,1992.0,3.274099349975586,concorde,concorde,../data/foodmart/order/instances_d20_ord18.txt,20,8,0,25,1560,240,18
Method 3,19,2096.0,3.7640199661254883,concorde,concorde,../data/foodmart/order/instances_d20_ord19.txt,20,8,0,25,1560,240,19
Method 3,20,2212.0,3.5743086338043213,concorde,concorde,../data/foodmart/order/instances_d20_ord20.txt,20,8,0,25,1560,240,20
Method 3,21,2304.0,3.976102113723755,concorde,concorde,../data/foodmart/order/instances_d20_ord21.txt,20,8,0,25,1560,240,21
Method 3,22,2414.0,3.8624141216278076,concorde,concorde,../data/foodmart/order/instances_d20_ord22.txt,20,8,0,25,1560,240,22
Method 3,23,2520.0,3.9497928619384766,concorde,concorde,../data/foodmart/order/instances_d20_ord23.txt,20,8,0,25,1560,240,23
Method 3,24,2612.0,4.787002325057983,concorde,concorde,../data/foodmart/order/instances_d20_ord24.txt,20,8,0,25,1560,240,24
Method 3,25,2720.0,4.738840818405151,concorde,concorde,../data/foodmart/order/instances_d20_ord25.txt,20,8,0,25,1560,240,25
Method 3,26,2824.0,4.621196746826172,concorde,concorde,../data/foodmart/order/instances_d20_ord26.txt,20,8,0,25,1560,240,26
Method 3,27,2938.0,5.130597352981567,concorde,concorde,../data/foodmart/order/instances_d20_ord27.txt,20,8,0,25,1560,240,27
Method 3,28,3044.0,4.964616060256958,concorde,concorde,../data/foodmart/order/instances_d20_ord28.txt,20,8,0,25,1560,240,28
Method 3,29,3148.0,5.09260106086731,concorde,concorde,../data/foodmart/order/instances_d20_ord29.txt,20,8,0,25,1560,240,29
Method 3,30,3242.0,5.3375444412231445,concorde,concorde,../data/foodmart/order/instances_d20_ord30.txt,20,8,0,25,1560,240,30
Method 3,31,3350.0,5.4381186962127686,concorde,concorde,../data/foodmart/order/instances_d20_ord31.txt,20,8,0,25,1560,240,31
Method 3,32,3452.0,5.839632749557495,concorde,concorde,../data/foodmart/order/instances_d20_ord32.txt,20,8,0,25,1560,240,32
Method 3,33,3562.0,5.515994548797607,concorde,concorde,../data/foodmart/order/instances_d20_ord33.txt,20,8,0,25,1560,240,33
Method 3,34,3662.0,5.710227966308594,concorde,concorde,../data/foodmart/order/instances_d20_ord34.txt,20,8,0,25,1560,240,34
Method 3,35,3762.0,6.836699485778809,concorde,concorde,../data/foodmart/order/instances_d20_ord35.txt,20,8,0,25,1560,240,35
Method 3,36,3858.0,5.983437538146973,concorde,concorde,../data/foodmart/order/instances_d20_ord36.txt,20,8,0,25,1560,240,36
Method 3,37,3952.0,6.472097873687744,concorde,concorde,../data/foodmart/order/instances_d20_ord37.txt,20,8,0,25,1560,240,37
Method 3,38,4068.0,6.463537693023682,concorde,concorde,../data/foodmart/order/instances_d20_ord38.txt,20,8,0,25,1560,240,38
Method 3,39,4178.0,6.8569495677948,concorde,concorde,../data/foodmart/order/instances_d20_ord39.txt,20,8,0,25,1560,240,39
Method 3,40,4292.0,6.834919691085815,concorde,concorde,../data/foodmart/order/instances_d20_ord40.txt,20,8,0,25,1560,240,40
Method 3,41,4390.0,6.766697883605957,concorde,concorde,../data/foodmart/order/instances_d20_ord41.txt,20,8,0,25,1560,240,41
Method 3,42,4500.0,6.902873516082764,concorde,concorde,../data/foodmart/order/instances_d20_ord42.txt,20,8,0,25,1560,240,42
Method 3,43,4582.0,7.417523384094238,concorde,concorde,../data/foodmart/order/instances_d20_ord43.txt,20,8,0,25,1560,240,43
Method 3,44,4692.0,7.495967626571655,concorde,concorde,../data/foodmart/order/instances_d20_ord44.txt,20,8,0,25,1560,240,44
Method 3,45,4804.0,7.746325254440308,concorde,concorde,../data/foodmart/order/instances_d20_ord45.txt,20,8,0,25,1560,240,45
Method 3,46,4912.0,7.6958723068237305,concorde,concorde,../data/foodmart/order/instances_d20_ord46.txt,20,8,0,25,1560,240,46
Method 3,47,5024.0,7.825742721557617,concorde,concorde,../data/foodmart/order/instances_d20_ord47.txt,20,8,0,25,1560,240,47
Method 3,48,5134.0,7.928460597991943,concorde,concorde,../data/foodmart/order/instances_d20_ord48.txt,20,8,0,25,1560,240,48
Method 3,49,5248.0,8.051085472106934,concorde,concorde,../data/foodmart/order/instances_d20_ord49.txt,20,8,0,25,1560,240,49
Method 3,5,582.0,0.9948098659515381,concorde,concorde,../data/foodmart/order/instances_d20_ord5.txt,20,8,0,25,1560,240,5
Method 3,50,5356.0,9.038861274719238,concorde,concorde,../data/foodmart/order/instances_d20_ord50.txt,20,8,0,25,1560,240,50
Method 3,6,700.0,1.1295547485351562,concorde,concorde,../data/foodmart/order/instances_d20_ord6.txt,20,8,0,25,1560,240,6
Method 3,7,806.0,1.6222658157348633,concorde,concorde,../data/foodmart/order/instances_d20_ord7.txt,20,8,0,25,1560,240,7
Method 3,8,922.0,1.7817914485931396,concorde,concorde,../data/foodmart/order/instances_d20_ord8.txt,20,8,0,25,1560,240,8
Method 3,9,1034.0,1.90354585647583,concorde,concorde,../data/foodmart/order/instances_d20_ord9.txt,20,8,0,25,1560,240,9
Method 3,10,938.0,1.4620177745819092,concorde,concorde,../data/foodmart/order/instances_d5_ord10.txt,05,8,0,25,1560,240,10
Method 3,11,1034.0,1.8609585762023926,concorde,concorde,../data/foodmart/order/instances_d5_ord11.txt,05,8,0,25,1560,240,11
Method 3,12,1122.0,1.9608345031738281,concorde,concorde,../data/foodmart/order/instances_d5_ord12.txt,05,8,0,25,1560,240,12
Method 3,13,1216.0,1.9805073738098145,concorde,concorde,../data/foodmart/order/instances_d5_ord13.txt,05,8,0,25,1560,240,13
Method 3,14,1320.0,2.0924267768859863,concorde,concorde,../data/foodmart/order/instances_d5_ord14.txt,05,8,0,25,1560,240,14
Method 3,15,1418.0,1.9747562408447266,concorde,concorde,../data/foodmart/order/instances_d5_ord15.txt,05,8,0,25,1560,240,15
Method 3,16,1508.0,2.1446588039398193,concorde,concorde,../data/foodmart/order/instances_d5_ord16.txt,05,8,0,25,1560,240,16
Method 3,17,1586.0,2.4710044860839844,concorde,concorde,../data/foodmart/order/instances_d5_ord17.txt,05,8,0,25,1560,240,17
Method 3,18,1688.0,2.5502753257751465,concorde,concorde,../data/foodmart/order/instances_d5_ord18.txt,05,8,0,25,1560,240,18
Method 3,19,1764.0,2.6889564990997314,concorde,concorde,../data/foodmart/order/instances_d5_ord19.txt,05,8,0,25,1560,240,19
Method 3,20,1844.0,2.782144784927368,concorde,concorde,../data/foodmart/order/instances_d5_ord20.txt,05,8,0,25,1560,240,20
Method 3,21,1938.0,2.922107696533203,concorde,concorde,../data/foodmart/order/instances_d5_ord21.txt,05,8,0,25,1560,240,21
Method 3,22,2026.0,3.010387659072876,concorde,concorde,../data/foodmart/order/instances_d5_ord22.txt,05,8,0,25,1560,240,22
Method 3,23,2124.0,3.162458896636963,concorde,concorde,../data/foodmart/order/instances_d5_ord23.txt,05,8,0,25,1560,240,23
Method 3,24,2222.0,3.4099416732788086,concorde,concorde,../data/foodmart/order/instances_d5_ord24.txt,05,8,0,25,1560,240,24
Method 3,25,2326.0,3.3672680854797363,concorde,concorde,../data/foodmart/order/instances_d5_ord25.txt,05,8,0,25,1560,240,25
Method 3,26,2430.0,3.508157253265381,concorde,concorde,../data/foodmart/order/instances_d5_ord26.txt,05,8,0,25,1560,240,26
Method 3,27,2508.0,4.118083715438843,concorde,concorde,../data/foodmart/order/instances_d5_ord27.txt,05,8,0,25,1560,240,27
Method 3,28,2602.0,3.8625566959381104,concorde,concorde,../data/foodmart/order/instances_d5_ord28.txt,05,8,0,25,1560,240,28
Method 3,29,2700.0,4.009005546569824,concorde,concorde,../data/foodmart/order/instances_d5_ord29.txt,05,8,0,25,1560,240,29
Method 3,30,2788.0,4.282683849334717,concorde,concorde,../data/foodmart/order/instances_d5_ord30.txt,05,8,0,25,1560,240,30
Method 3,31,2892.0,4.04010534286499,concorde,concorde,../data/foodmart/order/instances_d5_ord31.txt,05,8,0,25,1560,240,31
Method 3,32,2994.0,4.614916086196899,concorde,concorde,../data/foodmart/order/instances_d5_ord32.txt,05,8,0,25,1560,240,32
Method 3,33,3084.0,4.621574878692627,concorde,concorde,../data/foodmart/order/instances_d5_ord33.txt,05,8,0,25,1560,240,33
Method 3,34,3168.0,4.715994834899902,concorde,concorde,../data/foodmart/order/instances_d5_ord34.txt,05,8,0,25,1560,240,34
Method 3,35,3270.0,4.573135614395142,concorde,concorde,../data/foodmart/order/instances_d5_ord35.txt,05,8,0,25,1560,240,35
Method 3,36,3354.0,4.768543243408203,concorde,concorde,../data/foodmart/order/instances_d5_ord36.txt,05,8,0,25,1560,240,36
Method 3,37,3442.0,5.186283826828003,concorde,concorde,../data/foodmart/order/instances_d5_ord37.txt,05,8,0,25,1560,240,37
Method 3,38,3540.0,5.44621467590332,concorde,concorde,../data/foodmart/order/instances_d5_ord38.txt,05,8,0,25,1560,240,38
Method 3,39,3618.0,5.3440752029418945,concorde,concorde,../data/foodmart/order/instances_d5_ord39.txt,05,8,0,25,1560,240,39
Method 3,40,3698.0,5.555323839187622,concorde,concorde,../data/foodmart/order/instances_d5_ord40.txt,05,8,0,25,1560,240,40
Method 3,41,3758.0,5.578953981399536,concorde,concorde,../data/foodmart/order/instances_d5_ord41.txt,05,8,0,25,1560,240,41
Method 3,42,3852.0,5.762528419494629,concorde,concorde,../data/foodmart/order/instances_d5_ord42.txt,05,8,0,25,1560,240,42
Method 3,43,3948.0,5.866940259933472,concorde,concorde,../data/foodmart/order/instances_d5_ord43.txt,05,8,0,25,1560,240,43
Method 3,44,4026.0,6.231099367141724,concorde,concorde,../data/foodmart/order/instances_d5_ord44.txt,05,8,0,25,1560,240,44
Method 3,45,4110.0,6.153478384017944,concorde,concorde,../data/foodmart/order/instances_d5_ord45.txt,05,8,0,25,1560,240,45
Method 3,46,4202.0,6.6698431968688965,concorde,concorde,../data/foodmart/order/instances_d5_ord46.txt,05,8,0,25,1560,240,46
Method 3,47,4284.0,6.312844753265381,concorde,concorde,../data/foodmart/order/instances_d5_ord47.txt,05,8,0,25,1560,240,47
Method 3,48,4372.0,6.9159629344940186,concorde,concorde,../data/foodmart/order/instances_d5_ord48.txt,05,8,0,25,1560,240,48
Method 3,49,4456.0,7.570230007171631,concorde,concorde,../data/foodmart/order/instances_d5_ord49.txt,05,8,0,25,1560,240,49
Method 3,5,516.0,0.7378025054931641,concorde,concorde,../data/foodmart/order/instances_d5_ord5.txt,05,8,0,25,1560,240,5
Method 3,50,4498.0,7.120320558547974,concorde,concorde,../data/foodmart/order/instances_d5_ord50.txt,05,8,0,25,1560,240,50
Method 3,6,598.0,0.9116880893707275,concorde,concorde,../data/foodmart/order/instances_d5_ord6.txt,05,8,0,25,1560,240,6
Method 3,7,668.0,1.368727684020996,concorde,concorde,../data/foodmart/order/instances_d5_ord7.txt,05,8,0,25,1560,240,7
Method 3,8,754.0,1.2312815189361572,concorde,concorde,../data/foodmart/order/instances_d5_ord8.txt,05,8,0,25,1560,240,8
Method 3,9,842.0,1.5587890148162842,concorde,concorde,../data/foodmart/order/instances_d5_ord9.txt,05,8,0,25,1560,240,9
