Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,578.0,1.820861577987671,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,4,0,50,1560,80,10
Method 3,11,636.0,1.994344711303711,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,4,0,50,1560,80,11
Method 3,12,696.0,2.09206223487854,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,4,0,50,1560,80,12
Method 3,13,738.0,2.4749231338500977,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,4,0,50,1560,80,13
Method 3,14,796.0,2.7940852642059326,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,4,0,50,1560,80,14
Method 3,15,856.0,3.341536045074463,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,4,0,50,1560,80,15
Method 3,16,914.0,3.2227864265441895,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,4,0,50,1560,80,16
Method 3,17,966.0,3.3943674564361572,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,4,0,50,1560,80,17
Method 3,18,1008.0,3.728933572769165,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,4,0,50,1560,80,18
Method 3,19,1050.0,3.6266207695007324,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,4,0,50,1560,80,19
Method 3,20,1104.0,4.242059946060181,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,4,0,50,1560,80,20
Method 3,21,1158.0,4.303264856338501,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,4,0,50,1560,80,21
Method 3,22,1216.0,4.3697099685668945,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,4,0,50,1560,80,22
Method 3,23,1256.0,4.569693326950073,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,4,0,50,1560,80,23
Method 3,24,1308.0,4.2581117153167725,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,4,0,50,1560,80,24
Method 3,25,1348.0,4.857636213302612,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,4,0,50,1560,80,25
Method 3,26,1404.0,4.926533460617065,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,4,0,50,1560,80,26
Method 3,27,1464.0,5.119622468948364,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,4,0,50,1560,80,27
Method 3,28,1520.0,5.102548837661743,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,4,0,50,1560,80,28
Method 3,29,1570.0,5.429161548614502,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,4,0,50,1560,80,29
Method 3,30,1622.0,5.530752420425415,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,4,0,50,1560,80,30
Method 3,31,1670.0,5.613022089004517,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,4,0,50,1560,80,31
Method 3,32,1722.0,5.651296615600586,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,4,0,50,1560,80,32
Method 3,33,1766.0,5.746596336364746,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,4,0,50,1560,80,33
Method 3,34,1822.0,6.374118328094482,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,4,0,50,1560,80,34
Method 3,35,1878.0,6.327027320861816,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,4,0,50,1560,80,35
Method 3,36,1932.0,6.961384057998657,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,4,0,50,1560,80,36
Method 3,37,1982.0,6.3255555629730225,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,4,0,50,1560,80,37
Method 3,38,2040.0,7.011571407318115,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,4,0,50,1560,80,38
Method 3,39,2082.0,6.869610786437988,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,4,0,50,1560,80,39
Method 3,40,2138.0,7.52165675163269,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,4,0,50,1560,80,40
Method 3,41,2190.0,7.628992557525635,concorde,concorde,../data/foodmart/order/instances_d10_ord41.txt,10,4,0,50,1560,80,41
Method 3,42,2230.0,7.634160280227661,concorde,concorde,../data/foodmart/order/instances_d10_ord42.txt,10,4,0,50,1560,80,42
Method 3,43,2288.0,7.52433705329895,concorde,concorde,../data/foodmart/order/instances_d10_ord43.txt,10,4,0,50,1560,80,43
Method 3,44,2338.0,7.401774883270264,concorde,concorde,../data/foodmart/order/instances_d10_ord44.txt,10,4,0,50,1560,80,44
Method 3,45,2394.0,8.041124820709229,concorde,concorde,../data/foodmart/order/instances_d10_ord45.txt,10,4,0,50,1560,80,45
Method 3,46,2450.0,8.108866930007935,concorde,concorde,../data/foodmart/order/instances_d10_ord46.txt,10,4,0,50,1560,80,46
Method 3,47,2504.0,8.342796325683594,concorde,concorde,../data/foodmart/order/instances_d10_ord47.txt,10,4,0,50,1560,80,47
Method 3,48,2544.0,8.32058572769165,concorde,concorde,../data/foodmart/order/instances_d10_ord48.txt,10,4,0,50,1560,80,48
Method 3,49,2570.0,8.455227136611938,concorde,concorde,../data/foodmart/order/instances_d10_ord49.txt,10,4,0,50,1560,80,49
Method 3,5,290.0,0.8756611347198486,concorde,concorde,../data/foodmart/order/instances_d10_ord5.txt,10,4,0,50,1560,80,5
Method 3,50,2612.0,8.854125022888184,concorde,concorde,../data/foodmart/order/instances_d10_ord50.txt,10,4,0,50,1560,80,50
Method 3,6,346.0,0.959618330001831,concorde,concorde,../data/foodmart/order/instances_d10_ord6.txt,10,4,0,50,1560,80,6
Method 3,7,404.0,1.3203465938568115,concorde,concorde,../data/foodmart/order/instances_d10_ord7.txt,10,4,0,50,1560,80,7
Method 3,8,462.0,1.3544416427612305,concorde,concorde,../data/foodmart/order/instances_d10_ord8.txt,10,4,0,50,1560,80,8
Method 3,9,518.0,1.7530429363250732,concorde,concorde,../data/foodmart/order/instances_d10_ord9.txt,10,4,0,50,1560,80,9
Method 3,10,592.0,2.1259799003601074,concorde,concorde,../data/foodmart/order/instances_d20_ord10.txt,20,4,0,50,1560,80,10
Method 3,11,646.0,2.53318190574646,concorde,concorde,../data/foodmart/order/instances_d20_ord11.txt,20,4,0,50,1560,80,11
Method 3,12,704.0,2.4496827125549316,concorde,concorde,../data/foodmart/order/instances_d20_ord12.txt,20,4,0,50,1560,80,12
Method 3,13,762.0,2.7175097465515137,concorde,concorde,../data/foodmart/order/instances_d20_ord13.txt,20,4,0,50,1560,80,13
Method 3,14,812.0,3.0316238403320312,concorde,concorde,../data/foodmart/order/instances_d20_ord14.txt,20,4,0,50,1560,80,14
Method 3,15,870.0,3.035118579864502,concorde,concorde,../data/foodmart/order/instances_d20_ord15.txt,20,4,0,50,1560,80,15
Method 3,16,930.0,3.401113510131836,concorde,concorde,../data/foodmart/order/instances_d20_ord16.txt,20,4,0,50,1560,80,16
Method 3,17,990.0,3.6979658603668213,concorde,concorde,../data/foodmart/order/instances_d20_ord17.txt,20,4,0,50,1560,80,17
Method 3,18,1050.0,3.939042806625366,concorde,concorde,../data/foodmart/order/instances_d20_ord18.txt,20,4,0,50,1560,80,18
Method 3,19,1108.0,4.884316682815552,concorde,concorde,../data/foodmart/order/instances_d20_ord19.txt,20,4,0,50,1560,80,19
Method 3,20,1166.0,4.415906667709351,concorde,concorde,../data/foodmart/order/instances_d20_ord20.txt,20,4,0,50,1560,80,20
Method 3,21,1220.0,4.28023099899292,concorde,concorde,../data/foodmart/order/instances_d20_ord21.txt,20,4,0,50,1560,80,21
Method 3,22,1276.0,4.686083555221558,concorde,concorde,../data/foodmart/order/instances_d20_ord22.txt,20,4,0,50,1560,80,22
Method 3,23,1336.0,4.652936935424805,concorde,concorde,../data/foodmart/order/instances_d20_ord23.txt,20,4,0,50,1560,80,23
Method 3,24,1392.0,4.9978179931640625,concorde,concorde,../data/foodmart/order/instances_d20_ord24.txt,20,4,0,50,1560,80,24
Method 3,25,1450.0,4.874680995941162,concorde,concorde,../data/foodmart/order/instances_d20_ord25.txt,20,4,0,50,1560,80,25
