Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,260.0,0.6486692428588867,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,2,0,100,1560,160,10
Method 3,11,286.0,0.8636610507965088,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,2,0,100,1560,160,11
Method 3,12,312.0,1.5585088729858398,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,2,0,100,1560,160,12
Method 3,13,338.0,1.803781270980835,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,2,0,100,1560,160,13
Method 3,14,364.0,1.820807933807373,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,2,0,100,1560,160,14
Method 3,15,390.0,1.7894649505615234,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,2,0,100,1560,160,15
Method 3,16,416.0,2.1242594718933105,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,2,0,100,1560,160,16
Method 3,17,442.0,2.3870699405670166,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,2,0,100,1560,160,17
Method 3,18,468.0,2.464620351791382,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,2,0,100,1560,160,18
Method 3,19,468.0,2.475409507751465,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,2,0,100,1560,160,19
Method 3,20,494.0,2.556107997894287,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,2,0,100,1560,160,20
Method 3,21,520.0,2.552682876586914,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,2,0,100,1560,160,21
Method 3,22,546.0,2.796395778656006,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,2,0,100,1560,160,22
Method 3,23,572.0,2.876202344894409,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,2,0,100,1560,160,23
Method 3,24,598.0,2.959763288497925,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,2,0,100,1560,160,24
Method 3,25,622.0,3.1945455074310303,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,2,0,100,1560,160,25
Method 3,26,648.0,3.192844867706299,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,2,0,100,1560,160,26
Method 3,27,674.0,3.2692630290985107,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,2,0,100,1560,160,27
Method 3,28,700.0,3.3739240169525146,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,2,0,100,1560,160,28
Method 3,29,726.0,3.743016242980957,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,2,0,100,1560,160,29
Method 3,30,752.0,3.605966091156006,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,2,0,100,1560,160,30
Method 3,31,778.0,4.046064615249634,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,2,0,100,1560,160,31
Method 3,32,804.0,3.8270764350891113,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,2,0,100,1560,160,32
Method 3,33,830.0,4.362038850784302,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,2,0,100,1560,160,33
Method 3,34,856.0,4.335334777832031,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,2,0,100,1560,160,34
Method 3,35,882.0,4.625163316726685,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,2,0,100,1560,160,35
Method 3,36,908.0,4.685218095779419,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,2,0,100,1560,160,36
Method 3,37,934.0,4.652967691421509,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,2,0,100,1560,160,37
Method 3,38,960.0,4.872944355010986,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,2,0,100,1560,160,38
Method 3,39,986.0,4.732370853424072,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,2,0,100,1560,160,39
Method 3,40,1012.0,4.701171398162842,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,2,0,100,1560,160,40
