Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,424.0,0.8997194766998291,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,3,0,65,1560,320,10
Method 3,11,468.0,1.6899445056915283,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,3,0,65,1560,320,11
Method 3,12,512.0,2.5742266178131104,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,3,0,65,1560,320,12
Method 3,13,538.0,2.562008857727051,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,3,0,65,1560,320,13
Method 3,14,582.0,2.718862771987915,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,3,0,65,1560,320,14
Method 3,15,626.0,2.8301143646240234,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,3,0,65,1560,320,15
Method 3,16,666.0,3.091338634490967,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,3,0,65,1560,320,16
Method 3,17,710.0,3.390136957168579,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,3,0,65,1560,320,17
Method 3,18,752.0,3.4349870681762695,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,3,0,65,1560,320,18
Method 3,19,778.0,3.606236219406128,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,3,0,65,1560,320,19
Method 3,20,820.0,3.9796910285949707,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,3,0,65,1560,320,20
Method 3,21,820.0,3.6397838592529297,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,3,0,65,1560,320,21
Method 3,22,860.0,4.153116226196289,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,3,0,65,1560,320,22
Method 3,23,886.0,3.9088327884674072,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,3,0,65,1560,320,23
Method 3,24,926.0,4.270894289016724,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,3,0,65,1560,320,24
Method 3,25,952.0,4.265854597091675,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,3,0,65,1560,320,25
Method 3,26,992.0,4.126104116439819,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,3,0,65,1560,320,26
Method 3,27,1036.0,4.657870531082153,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,3,0,65,1560,320,27
Method 3,28,1078.0,4.83505392074585,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,3,0,65,1560,320,28
Method 3,29,1112.0,4.852135896682739,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,3,0,65,1560,320,29
Method 3,30,1148.0,4.833155393600464,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,3,0,65,1560,320,30
Method 3,31,1148.0,4.858625888824463,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,3,0,65,1560,320,31
Method 3,32,1190.0,5.8521881103515625,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,3,0,65,1560,320,32
Method 3,33,1216.0,5.436501979827881,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,3,0,65,1560,320,33
Method 3,34,1258.0,6.013900279998779,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,3,0,65,1560,320,34
Method 3,35,1300.0,5.834933042526245,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,3,0,65,1560,320,35
Method 3,36,1342.0,5.878041505813599,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,3,0,65,1560,320,36
Method 3,37,1384.0,6.46610164642334,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,3,0,65,1560,320,37
Method 3,38,1426.0,6.299301862716675,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,3,0,65,1560,320,38
Method 3,39,1452.0,6.6858811378479,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,3,0,65,1560,320,39
Method 3,40,1492.0,6.701496601104736,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,3,0,65,1560,320,40
Method 3,41,1528.0,6.8498265743255615,concorde,concorde,../data/foodmart/order/instances_d10_ord41.txt,10,3,0,65,1560,320,41
Method 3,42,1570.0,7.680602550506592,concorde,concorde,../data/foodmart/order/instances_d10_ord42.txt,10,3,0,65,1560,320,42
Method 3,43,1610.0,7.339411497116089,concorde,concorde,../data/foodmart/order/instances_d10_ord43.txt,10,3,0,65,1560,320,43
Method 3,44,1652.0,6.963255167007446,concorde,concorde,../data/foodmart/order/instances_d10_ord44.txt,10,3,0,65,1560,320,44
Method 3,45,1692.0,7.593364238739014,concorde,concorde,../data/foodmart/order/instances_d10_ord45.txt,10,3,0,65,1560,320,45
Method 3,46,1732.0,7.496149778366089,concorde,concorde,../data/foodmart/order/instances_d10_ord46.txt,10,3,0,65,1560,320,46
Method 3,47,1774.0,8.29248595237732,concorde,concorde,../data/foodmart/order/instances_d10_ord47.txt,10,3,0,65,1560,320,47
Method 3,48,1812.0,7.778318405151367,concorde,concorde,../data/foodmart/order/instances_d10_ord48.txt,10,3,0,65,1560,320,48
Method 3,49,1838.0,8.21871542930603,concorde,concorde,../data/foodmart/order/instances_d10_ord49.txt,10,3,0,65,1560,320,49
Method 3,5,212.0,0.8171775341033936,concorde,concorde,../data/foodmart/order/instances_d10_ord5.txt,10,3,0,65,1560,320,5
Method 3,50,1878.0,8.076690435409546,concorde,concorde,../data/foodmart/order/instances_d10_ord50.txt,10,3,0,65,1560,320,50
Method 3,6,254.0,1.2883415222167969,concorde,concorde,../data/foodmart/order/instances_d10_ord6.txt,10,3,0,65,1560,320,6
