Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,1973.58,2.2852723598480225,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,10,3,3,1560,320,10
Method 3,11,2160.18,2.1569228172302246,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,10,3,3,1560,320,11
Method 3,12,2346.93,2.306307554244995,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,10,3,3,1560,320,12
Method 3,13,2525.5299999999997,2.5366199016571045,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,10,3,3,1560,320,13
Method 3,14,2706.62,2.5994491577148438,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,10,3,3,1560,320,14
Method 3,15,2899.43,2.856771230697632,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,10,3,3,1560,320,15
Method 3,16,3098.0,2.9670636653900146,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,10,3,3,1560,320,16
Method 3,17,3262.81,3.1782145500183105,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,10,3,3,1560,320,17
Method 3,18,3431.52,3.284346342086792,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,10,3,3,1560,320,18
Method 3,19,3590.23,3.4155521392822266,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,10,3,3,1560,320,19
Method 3,20,3748.83,3.6716439723968506,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,10,3,3,1560,320,20
Method 3,21,3935.64,3.7762739658355713,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,10,3,3,1560,320,21
Method 3,22,4116.45,5.125539302825928,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,10,3,3,1560,320,22
Method 3,23,4257.139999999999,4.0388288497924805,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,10,3,3,1560,320,23
Method 3,24,4435.889999999999,4.271137952804565,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,10,3,3,1560,320,24
Method 3,25,4578.98,4.477859973907471,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,10,3,3,1560,320,25
Method 3,26,4749.5599999999995,4.612804174423218,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,10,3,3,1560,320,26
Method 3,27,4920.36,4.723541021347046,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,10,3,3,1560,320,27
Method 3,28,5064.83,5.541022300720215,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,10,3,3,1560,320,28
Method 3,29,5227.08,5.139228105545044,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,10,3,3,1560,320,29
Method 3,30,5383.89,6.681970119476318,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,10,3,3,1560,320,30
Method 3,31,5526.22,5.528343915939331,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,10,3,3,1560,320,31
Method 3,32,5702.63,5.778444766998291,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,10,3,3,1560,320,32
Method 3,33,5833.34,5.633214473724365,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,10,3,3,1560,320,33
Method 3,34,6006.150000000001,5.786303281784058,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,10,3,3,1560,320,34
Method 3,35,6198.820000000001,5.863461256027222,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,10,3,3,1560,320,35
Method 3,36,6375.290000000001,5.968533754348755,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,10,3,3,1560,320,36
Method 3,37,6538.380000000001,6.247524261474609,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,10,3,3,1560,320,37
Method 3,38,6712.980000000001,6.304802656173706,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,10,3,3,1560,320,38
Method 3,39,6845.600000000001,6.428079128265381,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,10,3,3,1560,320,39
Method 3,40,7004.4000000000015,6.60987401008606,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,10,3,3,1560,320,40
Method 3,41,7199.0700000000015,6.668318510055542,concorde,concorde,../data/foodmart/order/instances_d10_ord41.txt,10,10,3,3,1560,320,41
Method 3,42,7349.750000000002,6.796056270599365,concorde,concorde,../data/foodmart/order/instances_d10_ord42.txt,10,10,3,3,1560,320,42
Method 3,43,7532.550000000002,6.970337867736816,concorde,concorde,../data/foodmart/order/instances_d10_ord43.txt,10,10,3,3,1560,320,43
