Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,2954.7100000000005,3.025979518890381,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,20,0,3,1560,320,10
Method 3,11,3219.3500000000004,3.338013172149658,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,20,0,3,1560,320,11
Method 3,12,3494.0000000000005,3.5859413146972656,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,20,0,3,1560,320,12
Method 3,13,3684.6000000000004,3.7077794075012207,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,20,0,3,1560,320,13
Method 3,14,3945.1800000000003,3.887759208679199,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,20,0,3,1560,320,14
Method 3,15,4173.83,4.212075471878052,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,20,0,3,1560,320,15
Method 3,16,4436.45,4.177539348602295,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,20,0,3,1560,320,16
Method 3,17,4659.25,4.539411544799805,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,20,0,3,1560,320,17
Method 3,18,4877.84,4.986959218978882,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,20,0,3,1560,320,18
Method 3,19,5068.53,5.005870580673218,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,20,0,3,1560,320,19
Method 3,20,5299.62,5.126135587692261,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,20,0,3,1560,320,20
Method 3,21,5552.33,5.41168212890625,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,20,0,3,1560,320,21
Method 3,22,5811.01,5.554029226303101,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,20,0,3,1560,320,22
Method 3,23,5983.37,5.896115064620972,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,20,0,3,1560,320,23
Method 3,24,6223.78,5.945488452911377,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,20,0,3,1560,320,24
Method 3,25,6402.59,6.206297159194946,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,20,0,3,1560,320,25
Method 3,26,6643.39,6.450042486190796,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,20,0,3,1560,320,26
Method 3,27,6871.700000000001,6.695765495300293,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,20,0,3,1560,320,27
