Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,2100.0,1.6017208099365234,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,8,1,3,1560,160,10
Method 3,11,2306.0,1.6693739891052246,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,8,1,3,1560,160,11
Method 3,12,2518.0,2.7152581214904785,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,8,1,3,1560,160,12
Method 3,13,2678.0,1.9526946544647217,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,8,1,3,1560,160,13
Method 3,14,2874.0,2.175097942352295,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,8,1,3,1560,160,14
Method 3,15,3070.0,2.6633565425872803,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,8,1,3,1560,160,15
Method 3,16,3260.0,2.526353359222412,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,8,1,3,1560,160,16
Method 3,17,3422.0,2.626621723175049,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,8,1,3,1560,160,17
Method 3,18,3570.0,2.811279296875,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,8,1,3,1560,160,18
Method 3,19,3710.0,2.906332492828369,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,8,1,3,1560,160,19
Method 3,20,3886.0,2.952845573425293,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,8,1,3,1560,160,20
Method 3,21,4056.0,3.4466609954833984,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,8,1,3,1560,160,21
Method 3,22,4224.0,3.2803828716278076,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,8,1,3,1560,160,22
Method 3,23,4354.0,3.4046764373779297,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,8,1,3,1560,160,23
Method 3,24,4498.0,3.763042688369751,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,8,1,3,1560,160,24
Method 3,25,4626.0,3.583916664123535,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,8,1,3,1560,160,25
Method 3,26,4792.0,3.980426073074341,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,8,1,3,1560,160,26
Method 3,27,4954.0,4.169753313064575,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,8,1,3,1560,160,27
Method 3,28,5112.0,3.9092681407928467,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,8,1,3,1560,160,28
Method 3,29,5286.0,4.233210802078247,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,8,1,3,1560,160,29
Method 3,30,5458.0,4.543091535568237,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,8,1,3,1560,160,30
Method 3,31,5626.0,4.48217248916626,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,8,1,3,1560,160,31
Method 3,32,5772.0,4.3171985149383545,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,8,1,3,1560,160,32
Method 3,33,5896.0,4.728609085083008,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,8,1,3,1560,160,33
Method 3,34,6050.0,4.853079080581665,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,8,1,3,1560,160,34
Method 3,35,6218.0,4.997699737548828,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,8,1,3,1560,160,35
