Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,424.0,0.8243758678436279,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,3,0,65,1560,240,10
Method 3,11,468.0,1.6690130233764648,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,3,0,65,1560,240,11
Method 3,12,512.0,1.2332191467285156,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,3,0,65,1560,240,12
Method 3,13,538.0,1.5658330917358398,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,3,0,65,1560,240,13
Method 3,14,582.0,1.7034149169921875,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,3,0,65,1560,240,14
Method 3,15,626.0,1.7081186771392822,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,3,0,65,1560,240,15
Method 3,16,666.0,1.8935644626617432,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,3,0,65,1560,240,16
Method 3,17,710.0,2.1115734577178955,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,3,0,65,1560,240,17
Method 3,18,752.0,2.0597705841064453,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,3,0,65,1560,240,18
Method 3,19,778.0,1.992292881011963,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,3,0,65,1560,240,19
Method 3,20,820.0,2.4150891304016113,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,3,0,65,1560,240,20
Method 3,21,820.0,2.356581687927246,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,3,0,65,1560,240,21
Method 3,22,860.0,2.827141523361206,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,3,0,65,1560,240,22
Method 3,23,886.0,2.6082024574279785,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,3,0,65,1560,240,23
Method 3,24,926.0,2.571326971054077,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,3,0,65,1560,240,24
Method 3,25,952.0,2.598928213119507,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,3,0,65,1560,240,25
