Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,578.0,0.9289801120758057,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,4,0,50,1560,240,10
Method 3,11,636.0,1.6980602741241455,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,4,0,50,1560,240,11
Method 3,12,696.0,1.3768484592437744,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,4,0,50,1560,240,12
Method 3,13,738.0,1.6290459632873535,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,4,0,50,1560,240,13
Method 3,14,796.0,1.98856520652771,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,4,0,50,1560,240,14
Method 3,15,856.0,1.9964559078216553,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,4,0,50,1560,240,15
Method 3,16,914.0,1.8994362354278564,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,4,0,50,1560,240,16
Method 3,17,966.0,2.3794143199920654,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,4,0,50,1560,240,17
Method 3,18,1008.0,2.401715040206909,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,4,0,50,1560,240,18
Method 3,19,1050.0,2.5595414638519287,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,4,0,50,1560,240,19
Method 3,20,1104.0,2.497035503387451,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,4,0,50,1560,240,20
Method 3,21,1158.0,2.7162270545959473,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,4,0,50,1560,240,21
Method 3,22,1216.0,2.7779295444488525,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,4,0,50,1560,240,22
Method 3,23,1256.0,2.8603477478027344,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,4,0,50,1560,240,23
Method 3,24,1308.0,2.8526430130004883,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,4,0,50,1560,240,24
Method 3,25,1348.0,2.918850898742676,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,4,0,50,1560,240,25
Method 3,26,1404.0,3.3860530853271484,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,4,0,50,1560,240,26
Method 3,27,1464.0,3.251614570617676,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,4,0,50,1560,240,27
