Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,862.0,2.1715590953826904,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,6,0,33,1560,160,10
Method 3,11,946.0,2.591543674468994,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,6,0,33,1560,160,11
Method 3,12,1030.0,2.5843734741210938,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,6,0,33,1560,160,12
Method 3,13,1090.0,3.0550196170806885,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,6,0,33,1560,160,13
Method 3,14,1176.0,3.2476580142974854,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,6,0,33,1560,160,14
Method 3,15,1252.0,3.5916357040405273,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,6,0,33,1560,160,15
Method 3,16,1338.0,3.3378403186798096,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,6,0,33,1560,160,16
Method 3,17,1422.0,3.4789414405822754,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,6,0,33,1560,160,17
Method 3,18,1488.0,3.9410033226013184,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,6,0,33,1560,160,18
Method 3,19,1542.0,3.594137191772461,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,6,0,33,1560,160,19
Method 3,20,1610.0,4.025707244873047,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,6,0,33,1560,160,20
Method 3,21,1688.0,3.7932019233703613,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,6,0,33,1560,160,21
Method 3,22,1772.0,4.25661826133728,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,6,0,33,1560,160,22
