Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,862.0,2.380277395248413,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,6,0,33,1560,320,10
Method 3,11,946.0,2.5106756687164307,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,6,0,33,1560,320,11
Method 3,12,1030.0,2.827273368835449,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,6,0,33,1560,320,12
Method 3,13,1090.0,3.4534032344818115,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,6,0,33,1560,320,13
Method 3,14,1176.0,3.8009490966796875,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,6,0,33,1560,320,14
Method 3,15,1252.0,3.680002450942993,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,6,0,33,1560,320,15
Method 3,16,1338.0,3.9036431312561035,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,6,0,33,1560,320,16
Method 3,17,1422.0,4.07948899269104,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,6,0,33,1560,320,17
Method 3,18,1488.0,4.05883264541626,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,6,0,33,1560,320,18
Method 3,19,1542.0,4.353688478469849,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,6,0,33,1560,320,19
Method 3,20,1610.0,4.76365852355957,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,6,0,33,1560,320,20
Method 3,21,1688.0,4.4562249183654785,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,6,0,33,1560,320,21
Method 3,22,1772.0,4.347893476486206,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,6,0,33,1560,320,22
Method 3,23,1822.0,4.836954832077026,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,6,0,33,1560,320,23
Method 3,24,1900.0,4.8367626667022705,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,6,0,33,1560,320,24
Method 3,25,1956.0,4.841094255447388,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,6,0,33,1560,320,25
Method 3,26,2036.0,5.166813850402832,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,6,0,33,1560,320,26
Method 3,27,2100.0,5.268041610717773,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,6,0,33,1560,320,27
Method 3,28,2160.0,5.25223445892334,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,6,0,33,1560,320,28
Method 3,29,2230.0,5.324428558349609,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,6,0,33,1560,320,29
Method 3,30,2292.0,5.414841413497925,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,6,0,33,1560,320,30
Method 3,31,2364.0,5.6315319538116455,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,6,0,33,1560,320,31
Method 3,32,2440.0,5.985296249389648,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,6,0,33,1560,320,32
Method 3,33,2500.0,5.9094321727752686,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,6,0,33,1560,320,33
Method 3,34,2568.0,5.8810577392578125,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,6,0,33,1560,320,34
Method 3,35,2652.0,6.569632530212402,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,6,0,33,1560,320,35
Method 3,36,2734.0,6.690237283706665,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,6,0,33,1560,320,36
Method 3,37,2818.0,6.79227089881897,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,6,0,33,1560,320,37
Method 3,38,2898.0,6.738436460494995,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,6,0,33,1560,320,38
Method 3,39,2950.0,6.448585510253906,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,6,0,33,1560,320,39
Method 3,40,3012.0,7.59501051902771,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,6,0,33,1560,320,40
Method 3,41,3082.0,7.078803777694702,concorde,concorde,../data/foodmart/order/instances_d10_ord41.txt,10,6,0,33,1560,320,41
Method 3,42,3150.0,7.064718723297119,concorde,concorde,../data/foodmart/order/instances_d10_ord42.txt,10,6,0,33,1560,320,42
Method 3,43,3232.0,7.011584520339966,concorde,concorde,../data/foodmart/order/instances_d10_ord43.txt,10,6,0,33,1560,320,43
Method 3,44,3308.0,7.4653050899505615,concorde,concorde,../data/foodmart/order/instances_d10_ord44.txt,10,6,0,33,1560,320,44
Method 3,45,3390.0,7.453900098800659,concorde,concorde,../data/foodmart/order/instances_d10_ord45.txt,10,6,0,33,1560,320,45
Method 3,46,3460.0,7.710703134536743,concorde,concorde,../data/foodmart/order/instances_d10_ord46.txt,10,6,0,33,1560,320,46
