Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,3351.8200000000006,2.825277090072632,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,30,3,3,1560,320,10
Method 3,11,3680.4400000000005,2.368670701980591,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,30,3,3,1560,320,11
Method 3,12,4008.7700000000004,2.5633814334869385,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,30,3,3,1560,320,12
Method 3,13,4249.360000000001,2.84126877784729,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,30,3,3,1560,320,13
Method 3,14,4568.070000000001,2.84317684173584,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,30,3,3,1560,320,14
Method 3,15,4848.43,3.052908182144165,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,30,3,3,1560,320,15
Method 3,16,5169.09,3.117527484893799,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,30,3,3,1560,320,16
Method 3,17,5457.74,4.163899898529053,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,30,3,3,1560,320,17
Method 3,18,5724.389999999999,3.406339406967163,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,30,3,3,1560,320,18
Method 3,19,5948.7699999999995,3.6141960620880127,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,30,3,3,1560,320,19
Method 3,20,6211.389999999999,4.040930509567261,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,30,3,3,1560,320,20
Method 3,21,6515.789999999999,3.946259021759033,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,30,3,3,1560,320,21
Method 3,22,6820.189999999999,4.022241592407227,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,30,3,3,1560,320,22
Method 3,23,7040.439999999999,4.3286292552948,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,30,3,3,1560,320,23
Method 3,24,7332.699999999999,4.396940231323242,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,30,3,3,1560,320,24
Method 3,25,7519.379999999999,4.618658542633057,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,30,3,3,1560,320,25
Method 3,26,7825.8099999999995,4.653898239135742,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,30,3,3,1560,320,26
Method 3,27,8105.959999999999,4.729904890060425,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,30,3,3,1560,320,27
Method 3,28,8376.109999999999,5.047919034957886,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,30,3,3,1560,320,28
Method 3,29,8708.199999999999,5.178385257720947,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,30,3,3,1560,320,29
Method 3,30,8998.909999999998,5.286772727966309,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,30,3,3,1560,320,30
Method 3,31,9330.989999999998,5.145029067993164,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,30,3,3,1560,320,31
Method 3,32,9661.129999999997,5.397311687469482,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,30,3,3,1560,320,32
Method 3,33,9881.369999999997,5.472165822982788,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,30,3,3,1560,320,33
Method 3,34,10172.059999999998,5.6133131980896,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,30,3,3,1560,320,34
Method 3,35,10496.529999999997,5.8250041007995605,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,30,3,3,1560,320,35
Method 3,36,10802.899999999998,5.938486576080322,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,30,3,3,1560,320,36
Method 3,37,11113.699999999997,6.361390829086304,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,30,3,3,1560,320,37
Method 3,38,11454.269999999997,6.439063310623169,concorde,concorde,../data/foodmart/order/instances_d10_ord38.txt,10,30,3,3,1560,320,38
Method 3,39,11662.819999999996,6.283150911331177,concorde,concorde,../data/foodmart/order/instances_d10_ord39.txt,10,30,3,3,1560,320,39
Method 3,40,11938.989999999996,6.678186893463135,concorde,concorde,../data/foodmart/order/instances_d10_ord40.txt,10,30,3,3,1560,320,40
Method 3,41,12281.199999999997,6.713874816894531,concorde,concorde,../data/foodmart/order/instances_d10_ord41.txt,10,30,3,3,1560,320,41
Method 3,42,12527.469999999998,6.882477760314941,concorde,concorde,../data/foodmart/order/instances_d10_ord42.txt,10,30,3,3,1560,320,42
Method 3,43,12841.809999999998,7.007827997207642,concorde,concorde,../data/foodmart/order/instances_d10_ord43.txt,10,30,3,3,1560,320,43
Method 3,44,13148.139999999998,7.065966606140137,concorde,concorde,../data/foodmart/order/instances_d10_ord44.txt,10,30,3,3,1560,320,44
Method 3,45,13468.569999999998,7.321800708770752,concorde,concorde,../data/foodmart/order/instances_d10_ord45.txt,10,30,3,3,1560,320,45
Method 3,46,13769.229999999998,7.482378244400024,concorde,concorde,../data/foodmart/order/instances_d10_ord46.txt,10,30,3,3,1560,320,46
Method 3,47,14101.469999999998,7.546678304672241,concorde,concorde,../data/foodmart/order/instances_d10_ord47.txt,10,30,3,3,1560,320,47
