Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,260.0,0.8712327480316162,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,2,0,100,1560,80,10
Method 3,11,286.0,1.3683009147644043,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,2,0,100,1560,80,11
Method 3,12,312.0,1.1637225151062012,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,2,0,100,1560,80,12
Method 3,13,338.0,1.4633147716522217,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,2,0,100,1560,80,13
Method 3,14,364.0,1.2381682395935059,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,2,0,100,1560,80,14
Method 3,15,390.0,1.7766978740692139,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,2,0,100,1560,80,15
Method 3,16,416.0,1.8009099960327148,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,2,0,100,1560,80,16
Method 3,17,442.0,1.5599126815795898,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,2,0,100,1560,80,17
Method 3,18,468.0,2.59590744972229,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,2,0,100,1560,80,18
Method 3,19,468.0,2.3483707904815674,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,2,0,100,1560,80,19
Method 3,20,494.0,2.13509202003479,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,2,0,100,1560,80,20
Method 3,21,520.0,2.068756580352783,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,2,0,100,1560,80,21
Method 3,22,546.0,2.777665376663208,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,2,0,100,1560,80,22
Method 3,23,572.0,3.5967564582824707,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,2,0,100,1560,80,23
Method 3,24,598.0,3.5562832355499268,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,2,0,100,1560,80,24
Method 3,25,622.0,4.115737676620483,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,2,0,100,1560,80,25
Method 3,26,648.0,4.038548469543457,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,2,0,100,1560,80,26
Method 3,27,674.0,4.240823268890381,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,2,0,100,1560,80,27
Method 3,28,700.0,4.5322089195251465,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,2,0,100,1560,80,28
Method 3,29,726.0,4.336618661880493,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,2,0,100,1560,80,29
Method 3,30,752.0,4.6448163986206055,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,2,0,100,1560,80,30
