Method Used,Number of Orders,Objective Value,Time Elapsed (s),Time Savings Router,Order Batch Router,Order File,Order Size,Number of Aisles,Number of Extra Cross Aisles,Number of Shelves,Number of Products,Picker Capacity,Number of Pickers
Method 3,10,708.0,1.3363142013549805,concorde,concorde,../data/foodmart/order/instances_d10_ord10.txt,10,5,0,40,1560,240,10
Method 3,11,780.0,2.8010916709899902,concorde,concorde,../data/foodmart/order/instances_d10_ord11.txt,10,5,0,40,1560,240,11
Method 3,12,852.0,2.171511650085449,concorde,concorde,../data/foodmart/order/instances_d10_ord12.txt,10,5,0,40,1560,240,12
Method 3,13,892.0,2.11806583404541,concorde,concorde,../data/foodmart/order/instances_d10_ord13.txt,10,5,0,40,1560,240,13
Method 3,14,966.0,2.2606959342956543,concorde,concorde,../data/foodmart/order/instances_d10_ord14.txt,10,5,0,40,1560,240,14
Method 3,15,1026.0,4.571677207946777,concorde,concorde,../data/foodmart/order/instances_d10_ord15.txt,10,5,0,40,1560,240,15
Method 3,16,1096.0,9.325590133666992,concorde,concorde,../data/foodmart/order/instances_d10_ord16.txt,10,5,0,40,1560,240,16
Method 3,17,1164.0,2.842172145843506,concorde,concorde,../data/foodmart/order/instances_d10_ord17.txt,10,5,0,40,1560,240,17
Method 3,18,1220.0,2.848924160003662,concorde,concorde,../data/foodmart/order/instances_d10_ord18.txt,10,5,0,40,1560,240,18
Method 3,19,1262.0,3.681195020675659,concorde,concorde,../data/foodmart/order/instances_d10_ord19.txt,10,5,0,40,1560,240,19
Method 3,20,1318.0,5.873315095901489,concorde,concorde,../data/foodmart/order/instances_d10_ord20.txt,10,5,0,40,1560,240,20
Method 3,21,1386.0,5.889931917190552,concorde,concorde,../data/foodmart/order/instances_d10_ord21.txt,10,5,0,40,1560,240,21
Method 3,22,1456.0,4.875238418579102,concorde,concorde,../data/foodmart/order/instances_d10_ord22.txt,10,5,0,40,1560,240,22
Method 3,23,1500.0,3.1434857845306396,concorde,concorde,../data/foodmart/order/instances_d10_ord23.txt,10,5,0,40,1560,240,23
Method 3,24,1562.0,3.8252501487731934,concorde,concorde,../data/foodmart/order/instances_d10_ord24.txt,10,5,0,40,1560,240,24
Method 3,25,1604.0,3.2558343410491943,concorde,concorde,../data/foodmart/order/instances_d10_ord25.txt,10,5,0,40,1560,240,25
Method 3,26,1676.0,3.243539333343506,concorde,concorde,../data/foodmart/order/instances_d10_ord26.txt,10,5,0,40,1560,240,26
Method 3,27,1746.0,3.404157876968384,concorde,concorde,../data/foodmart/order/instances_d10_ord27.txt,10,5,0,40,1560,240,27
Method 3,28,1794.0,3.0308074951171875,concorde,concorde,../data/foodmart/order/instances_d10_ord28.txt,10,5,0,40,1560,240,28
Method 3,29,1856.0,3.8204588890075684,concorde,concorde,../data/foodmart/order/instances_d10_ord29.txt,10,5,0,40,1560,240,29
Method 3,30,1924.0,4.12485408782959,concorde,concorde,../data/foodmart/order/instances_d10_ord30.txt,10,5,0,40,1560,240,30
Method 3,31,1988.0,4.544684410095215,concorde,concorde,../data/foodmart/order/instances_d10_ord31.txt,10,5,0,40,1560,240,31
Method 3,32,2054.0,3.6951687335968018,concorde,concorde,../data/foodmart/order/instances_d10_ord32.txt,10,5,0,40,1560,240,32
Method 3,33,2112.0,4.15128493309021,concorde,concorde,../data/foodmart/order/instances_d10_ord33.txt,10,5,0,40,1560,240,33
Method 3,34,2180.0,3.7989566326141357,concorde,concorde,../data/foodmart/order/instances_d10_ord34.txt,10,5,0,40,1560,240,34
Method 3,35,2246.0,3.824822187423706,concorde,concorde,../data/foodmart/order/instances_d10_ord35.txt,10,5,0,40,1560,240,35
Method 3,36,2310.0,4.30267858505249,concorde,concorde,../data/foodmart/order/instances_d10_ord36.txt,10,5,0,40,1560,240,36
Method 3,37,2374.0,4.363142251968384,concorde,concorde,../data/foodmart/order/instances_d10_ord37.txt,10,5,0,40,1560,240,37
